ID,gender,seniors,month,payment_method,bill
7302-ZHMHP,Female,0,1,Mailed check,19.15
9571-EDEBV,Male,0,71,Credit card (automatic),98.65
3520-FJGCV,Male,0,72,Credit card (automatic),112.6
6563-VRERX,Male,0,33,Mailed check,20.6
0259-GBZSH,Male,0,2,Electronic check,85.65
6122-EFVKN,Male,0,24,Mailed check,35.75
2805-EDJPQ,Female,0,56,Credit card (automatic),99.75
6862-CQUMB,Male,0,37,Credit card (automatic),96.1
7156-MXBJE,Female,0,43,Credit card (automatic),85.1
6158-HDPXZ,Male,0,1,Mailed check,25.35
9601-BRXPO,Female,0,25,Bank transfer (automatic),104.95
2863-IMQDR,Female,0,61,Electronic check,89.65
5686-CMAWK,Male,0,17,Electronic check,86.75
5651-CRHKQ,Female,0,41,Bank transfer (automatic),86.2
6905-NIQIN,Male,0,1,Mailed check,50.65
8204-YJCLA,Male,1,72,Bank transfer (automatic),64.8
5167-ZFFMM,Male,0,1,Credit card (automatic),90.85
6583-SZVGP,Male,0,48,Bank transfer (automatic),108.1
4895-TMWIR,Male,1,11,Mailed check,19.95
0533-BNWKF,Female,1,55,Electronic check,85.45
1708-PBBOA,Female,0,42,Electronic check,54.75
8782-LKFPK,Male,0,44,Mailed check,90.4
5522-JBWMO,Male,0,1,Electronic check,44
3597-MVHJT,Female,0,27,Bank transfer (automatic),95.6
9774-NRNAU,Male,1,27,Bank transfer (automatic),84.8
0224-RLWWD,Female,1,2,Electronic check,44.3
9967-ATRFS,Female,0,19,Mailed check,19.9
3951-NJCVI,Female,1,42,Electronic check,95.05
2977-CEBSX,Female,0,66,Credit card (automatic),90.05
0177-PXBAT,Male,1,33,Bank transfer (automatic),109.9
6599-CEBNN,Female,0,34,Credit card (automatic),73.95
2519-ERQOJ,Male,1,33,Electronic check,54.6
5876-QMYLD,Female,0,23,Mailed check,20.05
2277-AXSDC,Female,0,32,Bank transfer (automatic),19.75
9442-JTWDL,Female,0,11,Credit card (automatic),20.05
0979-PHULV,Male,0,69,Credit card (automatic),99.45
3067-SVMTC,Female,0,68,Bank transfer (automatic),55.9
5495-GPSRW,Male,0,20,Mailed check,19.7
7606-BPHHN,Male,0,72,Credit card (automatic),19.8
4742-DRORA,Male,0,60,Bank transfer (automatic),95.4
0111-KLBQG,Male,1,32,Mailed check,93.95
4800-VHZKI,Female,0,1,Mailed check,19.9
7989-CHGTL,Male,0,1,Mailed check,19.6
0334-GDDSO,Male,1,3,Electronic check,81.35
4163-NCJAK,Female,0,46,Bank transfer (automatic),24.45
5233-AOZUF,Female,0,29,Electronic check,74.95
5973-EJGDP,Male,0,51,Electronic check,87.35
1996-DBMUS,Female,1,48,Bank transfer (automatic),70.65
7916-VCCPB,Female,0,16,Bank transfer (automatic),73.25
4686-GEFRM,Male,0,70,Bank transfer (automatic),98.7
5249-QYHEX,Female,0,40,Mailed check,24.8
0578-SKVMF,Female,0,22,Electronic check,83.3
5564-NEMQO,Female,1,1,Bank transfer (automatic),75.3
2233-FAGXV,Female,0,5,Mailed check,24.3
5605-IYGFG,Female,0,7,Bank transfer (automatic),69.85
7663-ZTEGJ,Male,0,29,Credit card (automatic),100.55
3935-TBRZZ,Male,0,44,Mailed check,25.7
8111-BKVDS,Female,0,10,Bank transfer (automatic),40.7
2055-SIFSS,Female,1,55,Bank transfer (automatic),51.65
2806-MLNTI,Male,1,52,Bank transfer (automatic),105.1
8734-DKSTZ,Female,0,10,Electronic check,85.95
4360-PNRQB,Male,0,18,Bank transfer (automatic),75.6
6152-ONASV,Female,0,68,Bank transfer (automatic),58.25
9063-ZGTUY,Female,0,61,Mailed check,19.4
7781-HVGMK,Female,0,72,Credit card (automatic),65.2
2181-UAESM,Male,0,2,Electronic check,53.45
2957-LOLHO,Male,0,12,Bank transfer (automatic),45.4
6048-NJXHX,Male,0,41,Electronic check,19.75
2320-SLKMB,Female,0,26,Credit card (automatic),44.45
4980-URKXC,Male,0,36,Bank transfer (automatic),20.85
4376-KFVRS,Male,0,72,Credit card (automatic),114.05
5886-VLQVU,Male,0,35,Bank transfer (automatic),89.85
3577-AMVUX,Male,0,1,Mailed check,55.05
0771-WLCLA,Female,0,16,Electronic check,112.95
5628-RKIFK,Female,1,49,Credit card (automatic),101.55
0206-TBWLC,Female,0,54,Mailed check,114.65
2937-FTHUR,Female,0,18,Electronic check,64.8
1910-FMXJM,Female,0,36,Electronic check,80.4
7752-XUSCI,Female,0,60,Electronic check,105.9
4110-PFEUZ,Female,0,1,Mailed check,69.55
0732-OCQOC,Female,0,52,Bank transfer (automatic),25.05
5168-MSWXT,Male,0,8,Electronic check,94.75
1090-ESELR,Male,0,72,Bank transfer (automatic),105.5
8592-PLTMQ,Female,0,64,Mailed check,24.7
5760-WRAHC,Female,1,22,Mailed check,69.75
8847-GEOOQ,Male,0,60,Bank transfer (automatic),60.2
0256-LTHVJ,Female,0,28,Electronic check,81.05
4785-FCIFB,Female,0,61,Mailed check,24.4
8313-NDOIA,Female,0,24,Electronic check,104.15
5149-CUZUJ,Male,0,28,Bank transfer (automatic),92.9
0942-KOWSM,Female,0,30,Bank transfer (automatic),80.8
4237-CLSMM,Male,0,2,Mailed check,20
1452-VOQCH,Male,0,1,Electronic check,75.1
4719-UMSIY,Male,0,6,Mailed check,19.65
6614-VBEGU,Female,0,24,Bank transfer (automatic),69.45
0880-TKATG,Male,0,4,Electronic check,101.15
3811-VBYBZ,Male,0,7,Electronic check,99.8
1480-BKXGA,Male,1,72,Bank transfer (automatic),116.05
2996-XAUVF,Male,0,70,Mailed check,40.05
9076-AXYIK,Male,1,64,Electronic check,102.1
5968-XQIVE,Male,0,72,Electronic check,89.7
8896-RAZCR,Female,0,44,Mailed check,19.9
4640-UHDOS,Female,0,13,Electronic check,55.95
4933-IKULF,Female,1,17,Mailed check,20.65
3583-EKAPL,Male,0,1,Electronic check,55
1304-BCCFO,Male,0,9,Mailed check,70.05
4104-PVRPS,Male,0,24,Mailed check,53.6
9399-APLBT,Female,0,1,Electronic check,74.7
2359-KMGLI,Male,0,24,Electronic check,80.25
3780-DDGSE,Male,1,35,Electronic check,76.05
4431-EDMIQ,Female,0,7,Electronic check,75.7
0306-JAELE,Male,0,5,Electronic check,96.1
6227-HWPWX,Female,0,15,Bank transfer (automatic),69
0486-LGCCH,Male,0,11,Mailed check,19.65
0447-BEMNG,Female,0,48,Bank transfer (automatic),45.3
4612-SSVHJ,Female,1,20,Electronic check,81.45
5168-MQQCA,Female,0,72,Bank transfer (automatic),108.5
5949-XIKAE,Female,0,8,Electronic check,83.55
7971-HLVXI,Male,0,72,Credit card (automatic),84.5
9094-AZPHK,Female,0,15,Electronic check,100.15
3649-JPUGY,Male,0,72,Bank transfer (automatic),88.6
4472-LVYGI,Female,0,0,Bank transfer (automatic),52.55
8372-JUXUI,Male,0,1,Electronic check,74.35
3552-CTCYF,Male,0,63,Bank transfer (automatic),104.8
6778-YSNIH,Female,0,2,Electronic check,59
0388-EOPEX,Female,0,2,Electronic check,74.4
5756-OZRIO,Male,1,61,Bank transfer (automatic),64.05
6579-JPICP,Male,0,1,Mailed check,20.4
8205-OTCHB,Male,0,22,Bank transfer (automatic),43.75
4134-BSXLX,Male,0,28,Mailed check,60.9
0505-SPOOW,Female,0,70,Bank transfer (automatic),19.8
6235-VDHOM,Female,1,5,Electronic check,28.45
7783-YKGDV,Female,0,12,Bank transfer (automatic),99.7
4374-YMUSQ,Male,0,34,Credit card (automatic),116.25
4513-CXYIX,Female,1,71,Credit card (automatic),80.7
3957-HHLMR,Female,0,70,Bank transfer (automatic),65.2
